ID	POPULACAO_TOTAL
1	141054
2	6792
3	53605
4	35017
5	25061
6	52714
7	33665
8	105030
9	24771
10	471744
11	20493
12	40499
13	26579
14	15767
15	23855
16	36907
17	3434
18	99800
19	1392031
20	16324
21	51663
22	15246
23	13630
24	113165
25	17960
26	7324
27	52497
28	92865
29	25700
30	20460
31	26476
32	120904
33	26727
34	63628
35	51899
36	173096
37	21138
38	11382
39	45530
40	28221
41	10478
42	18295
43	28582
44	12262
45	34490
46	51318
47	31745
48	8181
49	17825
50	25051
51	30437
52	29060
53	35843
54	58023
55	10064
56	51383
57	31382
58	97343
59	51258
60	14040
61	51375
62	47123
63	25028
64	27892
65	8115
66	233462
67	28376
68	26605
69	108251
70	27442
71	24789
72	26745
73	69921
74	15548
75	55459
76	34237
77	20159
78	14645
79	13660
80	25106
81	62124
82	49254
83	28595
84	62963
85	16296
86	27564
87	40052
88	7487
89	97788
90	153942
91	6029
92	7868
93	12703
94	23930
95	25989
96	52166
97	33951
98	29265
99	10268
100	12411
101	75505
102	17722
103	46974
104	40068
105	37430
106	20184
107	17154
108	8163
109	59476
110	19422
111	17198
112	23033
113	56132
114	294774
115	6145
116	26673
117	16891
118	23140
119	29827
120	91293
121	15196
122	25584
123	5265
124	20644
125	13149
126	51527
127	22890
128	5047
129	12998
130	22995
131	79299
132	10254
133	16952
134	56514
135	27466
136	16885
137	33651
138	97109
139	43345
140	44720
141	47902
142	56681
143	13480
144	40573