id,bairro,populacao
0,Guama,94610
1,Universitario,2557
2,Jurunas,64478
3,Cidade_Velha,12128
4,Campina,6156
5,Reduto,6373
6,Umarizal,30090
7,Cremacao,31264
8,Batista_Campos,19136
9,Condor,42758
10,Nazare,20504
11,Sao_Bras,19936
12,Canudos,13804
13,Terra_Firme,61439
14,Fatima,12385
15,Marco,65844
16,Pedreira,69608
17,Telegrafo,42953
18,Barreiro,26003
19,Miramar,515
20,Maracangalha,30534
21,Souza,13190
22,Sacramenta,44413
23,Val-de-Caes,7032
24,Marambaia,66708
25,Bengui,29379
26,Mangueirao,36224
27,Castanheira,24424
28,Guanabara,1588
29,Aguas_Lindas,17520
30,Aura,1827
31,Curio-Utinga,16642
32,Pratinha,22589
33,Sao_Clemente,7714
34,Cabanagem,27781
35,Una,6724
36,Coqueiro,51776
37,Parque_Verde,39126